State,Award Count,Total,Population
Alabama,252,315603383.00,4903185.00
Alaska,851,374871601.00,731545.00
Arizona,483,525725876.00,7278717.00
Arkansas,157,212298130.00,3017804.00
California,"2,121",2459021414.00,39512223.00
Colorado,330,363992023.00,5758736.00
Connecticut,275,345125988.00,3565287.00
Delaware,93,111600151.00,973764.00
District of Columbia,229,237167447.00,705749.00
Florida,549,1102682087.00,21477737.00
Georgia,429,873660313.00,10617423.00
Hawaii,133,115352703.00,1415872.00
Idaho,216,141053556.00,1787065.00
Illinois,492,997266974.00,12671821.00
Indiana,277,431329282.00,6732219.00
Iowa,172,228084003.00,3155070.00
Kansas,222,209521525.00,2913314.00
Kentucky,250,299692247.00,4467673.00
Louisiana,388,424490776.00,4648794.00
Maine,241,128672258.00,1344212.00
Maryland,330,472445192.00,6045680.00
Massachusetts,455,823808657.00,6892503.00
Michigan,627,743390733.00,9986857.00
Minnesota,371,327883374.00,5639632.00
Mississippi,208,258675523.00,2976149.00
Missouri,308,409767052.00,6137428.00
Montana,295,135501461.00,1068778.00
Nebraska,222,184899426.00,1934408.00
Nevada,259,191612651.00,3080156.00
New Hampshire,106,113746201.00,1359711.00
New Jersey,294,906315634.00,8882190.00
New Mexico,532,219016082.00,2096829.00
New York,964,2379761033.00,19453561.00
North Carolina,504,879088968.00,10488084.00
North Dakota,178,115017224.00,762062.00
Ohio,440,678013543.00,11689100.00
Oklahoma,713,519049594.00,3956971.00
Oregon,463,272968334.00,4217737.00
Pennsylvania,482,825016395.00,12801989.00
Puerto Rico,290,239221526.00,3193694.00
Rhode Island,131,156084168.00,1059361.00
South Carolina,229,315205381.00,5148714.00
South Dakota,253,144129089.00,884659.00
Tennessee,325,478313777.00,6829174.00
Texas,760,1548788305.00,28995881.00
Utah,181,206708802.00,3205958.00
Vermont,117,104040456.00,623989.00
Virginia,311,460904650.00,8535519.00
Washington,848,971337018.00,7614893.00
West Virginia,193,171183531.00,1792147.00
Wisconsin,395,363715448.00,5822434.00
Wyoming,120,92610300.00,578759.00
,,,
,,,
,,,
,,,
,,,
,,,
